"lat","lon","vals","standard_name","long_name","units"
-61.625,-55.375,367250173.1313606,,,
-61.625,-55.125,367250173.13134736,,,
-61.625,-54.875,367250173.13134223,,,
-61.625,-54.625,367250173.13135165,,,
-61.625,-54.375,367250173.13134724,,,
-61.625,-54.125,367250173.1313544,,,
-61.625,-53.875,367250173.13135386,,,
-61.625,-53.625,367250173.1313598,,,
-61.625,-53.375,367250173.13134044,,,
-61.625,-53.125,367250173.1313575,,,
-61.625,-52.875,367250173.13133883,,,
-61.625,-52.625,367250173.1313489,,,
-61.625,-52.375,367250173.1313581,,,
-61.625,-52.125,367250173.1313422,,,
-61.625,-51.875,367250173.13134754,,,
-61.625,-51.625,367250173.131357,,,
-61.625,-51.375,367250173.1313573,,,
-61.625,-51.125,367250173.1313458,,,
-61.625,-50.875,367250173.1313581,,,
-61.625,-50.625,367250173.1313416,,,
-61.625,-50.375,367250173.1313442,,,
-61.625,-50.125,367250173.1313661,,,
-61.875,-69.875,364279952.5374375,,,
